Num_Acc,letco,codr,senc,catv,occutc,obs,obsm,choc,manv
201200000001,A,1,0,07,000,00,1,7,16
201200000002,A,1,0,07,000,00,2,3,16
201200000002,B,1,0,33,000,00,2,8,01
201200000003,C,1,0,07,000,00,2,1,01
201200000003,B,1,0,07,000,00,2,8,01
201200000003,A,1,0,33,000,00,2,3,13
201200000004,A,1,0,07,000,00,2,2,15
201200000004,B,1,0,30,000,00,2,1,01
201200000005,A,1,0,07,000,00,2,1,17
201200000005,B,1,0,38,000,00,2,3,01
201200000006,A,1,0,07,000,00,1,2,01
201200000007,A,1,0,07,000,00,1,2,01
201200000008,A,1,0,07,000,00,1,2,01
201200000009,B,1,0,07,000,00,2,5,02
201200000009,A,1,0,33,000,00,2,1,02
201200000010,A,1,0,07,000,06,0,1,14
201200000011,A,1,0,33,000,00,2,7,17
201200000011,B,1,0,07,000,00,2,8,17
201200000012,B,1,0,30,000,00,2,1,01
201200000012,A,1,0,07,000,00,2,2,16
201200000013,A,1,0,07,000,00,1,3,01
201200000014,B,1,0,21,000,00,2,1,01
201200000014,A,1,0,07,000,00,2,1,13
201200000015,A,1,0,33,000,03,0,1,01
201200000016,B,1,0,33,000,00,2,1,17
201200000016,A,1,0,07,000,00,0,8,10
201200000017,A,1,0,31,000,00,2,1,01
201200000017,B,1,0,07,000,00,0,3,01
201200000018,A,1,0,33,000,06,0,1,01
201200000019,B,1,0,17,000,00,2,3,15
201200000019,A,1,0,03,000,00,2,7,17
201200000020,A,1,0,14,000,06,0,1,01
201200000021,A,1,0,33,000,00,2,7,01
201200000022,A,1,0,07,000,02,0,2,01
201200000023,A,1,0,07,000,00,2,1,01
201200000023,B,1,0,14,000,00,2,8,00
201200000024,B,1,0,03,000,00,2,3,01
201200000024,A,1,0,07,000,00,2,3,01
201200000025,A,1,0,33,000,13,0,1,01
201200000025,B,1,0,07,000,00,0,0,15
201200000026,A,1,1,07,000,00,2,5,15
201200000026,B,1,2,33,000,00,2,1,01
201200000027,A,1,0,07,000,00,2,7,15
201200000028,B,1,0,07,000,00,2,3,15
201200000028,A,1,0,02,000,00,2,8,17
201200000029,A,1,0,07,000,00,2,7,17
201200000029,B,1,0,01,000,00,2,8,15
201200000030,A,1,0,01,000,01,0,1,01
201200000031,A,1,0,07,000,06,0,8,01
201200000032,A,1,0,07,000,00,0,3,15
201200000032,B,1,0,02,000,00,2,1,01
201200000033,A,1,0,07,000,00,2,3,10
201200000033,B,1,0,07,000,00,2,2,21
201200000034,A,1,0,07,000,08,0,1,00
201200000035,A,1,0,07,000,13,0,1,01
201200000036,B,1,0,01,000,00,2,8,01
201200000036,A,1,0,21,000,00,2,5,01
201200000037,A,1,0,07,000,00,0,0,01
201200000038,A,1,0,07,000,08,0,2,01
201200000039,A,1,0,31,000,00,2,1,01
201200000039,B,1,0,07,000,00,2,2,01
201200000040,A,1,0,33,000,03,2,3,02
201200000040,B,1,0,10,000,00,2,5,02
201200000041,A,1,0,02,000,00,2,1,18
201200000041,B,1,0,10,000,00,9,2,16
201200000042,A,1,0,07,000,00,1,3,01
201200000043,A,1,0,07,000,13,0,1,01
201200000044,A,1,0,07,000,00,1,0,01
201200000045,A,1,0,07,000,00,1,2,01
201200000046,A,1,0,07,000,00,2,3,01
201200000046,B,1,0,01,000,00,2,1,15
201200000047,A,1,0,07,000,00,2,2,15
201200000047,B,1,0,07,000,00,2,1,01
201200000048,A,1,0,07,000,00,2,2,13
201200000048,B,1,0,07,000,00,2,2,13
201200000049,A,1,0,02,000,14,0,1,01
201200000050,A,1,0,10,000,13,0,1,01
201200000051,B,1,0,10,000,00,2,2,01
201200000051,A,1,0,07,000,00,2,1,13
201200000052,A,1,0,33,000,00,2,8,01
201200000053,A,1,0,33,000,00,2,1,17
201200000053,B,1,0,07,000,00,2,3,15
201200000054,A,1,0,07,000,00,0,5,16
201200000054,B,1,0,02,000,00,2,1,01
201200000055,A,1,0,07,000,00,2,4,01
201200000055,B,1,0,07,000,00,2,1,01
201200000056,B,2,0,07,000,13,2,5,01
201200000056,A,1,0,10,000,00,2,1,09
